"Normals:0","Normals:1","Normals:2","TextureCoordinates:0","TextureCoordinates:1","Points:0","Points:1","Points:2"
-1,0,0,0,0,0.01,0.001,0.001
-1,0,0,0.2,0,0.01,0.001,0.0106
-1,0,0,0.4,0,0.01,0.001,0.0202
-1,0,0,0.6,0,0.01,0.001,0.0298
-1,0,0,0.8,0,0.01,0.001,0.0394
-1,0,0,1,0,0.01,0.001,0.049
-1,0,0,0,0.02,0.01,0.00916,0.001
-1,0,0,0.2,0.02,0.01,0.00916,0.0106
-1,0,0,0.4,0.02,0.01,0.00916,0.0202
-1,0,0,0.6,0.02,0.01,0.00916,0.0298
-1,0,0,0.8,0.02,0.01,0.00916,0.0394
-1,0,0,1,0.02,0.01,0.00916,0.049
-1,0,0,0,0.04,0.01,0.01732,0.001
-1,0,0,0.2,0.04,0.01,0.01732,0.0106
-1,0,0,0.4,0.04,0.01,0.01732,0.0202
-1,0,0,0.6,0.04,0.01,0.01732,0.0298
-1,0,0,0.8,0.04,0.01,0.01732,0.0394
-1,0,0,1,0.04,0.01,0.01732,0.049
-1,0,0,0,0.06,0.01,0.02548,0.001
-1,0,0,0.2,0.06,0.01,0.02548,0.0106
-1,0,0,0.4,0.06,0.01,0.02548,0.0202
-1,0,0,0.6,0.06,0.01,0.02548,0.0298
-1,0,0,0.8,0.06,0.01,0.02548,0.0394
-1,0,0,1,0.06,0.01,0.02548,0.049
-1,0,0,0,0.08,0.01,0.03364,0.001
-1,0,0,0.2,0.08,0.01,0.03364,0.0106
-1,0,0,0.4,0.08,0.01,0.03364,0.0202
-1,0,0,0.6,0.08,0.01,0.03364,0.0298
-1,0,0,0.8,0.08,0.01,0.03364,0.0394
-1,0,0,1,0.08,0.01,0.03364,0.049
-1,0,0,0,0.1,0.01,0.0418,0.001
-1,0,0,0.2,0.1,0.01,0.0418,0.0106
-1,0,0,0.4,0.1,0.01,0.0418,0.0202
-1,0,0,0.6,0.1,0.01,0.0418,0.0298
-1,0,0,0.8,0.1,0.01,0.0418,0.0394
-1,0,0,1,0.1,0.01,0.0418,0.049
-1,0,0,0,0.12,0.01,0.04996,0.001
-1,0,0,0.2,0.12,0.01,0.04996,0.0106
-1,0,0,0.4,0.12,0.01,0.04996,0.0202
-1,0,0,0.6,0.12,0.01,0.04996,0.0298
-1,0,0,0.8,0.12,0.01,0.04996,0.0394
-1,0,0,1,0.12,0.01,0.04996,0.049
-1,0,0,0,0.14,0.01,0.05812,0.001
-1,0,0,0.2,0.14,0.01,0.05812,0.0106
-1,0,0,0.4,0.14,0.01,0.05812,0.0202
-1,0,0,0.6,0.14,0.01,0.05812,0.0298
-1,0,0,0.8,0.14,0.01,0.05812,0.0394
-1,0,0,1,0.14,0.01,0.05812,0.049
-1,0,0,0,0.16,0.01,0.06628,0.001
-1,0,0,0.2,0.16,0.01,0.06628,0.0106
-1,0,0,0.4,0.16,0.01,0.06628,0.0202
-1,0,0,0.6,0.16,0.01,0.06628,0.0298
-1,0,0,0.8,0.16,0.01,0.06628,0.0394
-1,0,0,1,0.16,0.01,0.06628,0.049
-1,0,0,0,0.18,0.01,0.07444,0.001
-1,0,0,0.2,0.18,0.01,0.07444,0.0106
-1,0,0,0.4,0.18,0.01,0.07444,0.0202
-1,0,0,0.6,0.18,0.01,0.07444,0.0298
-1,0,0,0.8,0.18,0.01,0.07444,0.0394
-1,0,0,1,0.18,0.01,0.07444,0.049
-1,0,0,0,0.2,0.01,0.0826,0.001
-1,0,0,0.2,0.2,0.01,0.0826,0.0106
-1,0,0,0.4,0.2,0.01,0.0826,0.0202
-1,0,0,0.6,0.2,0.01,0.0826,0.0298
-1,0,0,0.8,0.2,0.01,0.0826,0.0394
-1,0,0,1,0.2,0.01,0.0826,0.049
-1,0,0,0,0.22,0.01,0.09076,0.001
-1,0,0,0.2,0.22,0.01,0.09076,0.0106
-1,0,0,0.4,0.22,0.01,0.09076,0.0202
-1,0,0,0.6,0.22,0.01,0.09076,0.0298
-1,0,0,0.8,0.22,0.01,0.09076,0.0394
-1,0,0,1,0.22,0.01,0.09076,0.049
-1,0,0,0,0.24,0.01,0.09892,0.001
-1,0,0,0.2,0.24,0.01,0.09892,0.0106
-1,0,0,0.4,0.24,0.01,0.09892,0.0202
-1,0,0,0.6,0.24,0.01,0.09892,0.0298
-1,0,0,0.8,0.24,0.01,0.09892,0.0394
-1,0,0,1,0.24,0.01,0.09892,0.049
-1,0,0,0,0.26,0.01,0.10708,0.001
-1,0,0,0.2,0.26,0.01,0.10708,0.0106
-1,0,0,0.4,0.26,0.01,0.10708,0.0202
-1,0,0,0.6,0.26,0.01,0.10708,0.0298
-1,0,0,0.8,0.26,0.01,0.10708,0.0394
-1,0,0,1,0.26,0.01,0.10708,0.049
-1,0,0,0,0.28,0.01,0.11524,0.001
-1,0,0,0.2,0.28,0.01,0.11524,0.0106
-1,0,0,0.4,0.28,0.01,0.11524,0.0202
-1,0,0,0.6,0.28,0.01,0.11524,0.0298
-1,0,0,0.8,0.28,0.01,0.11524,0.0394
-1,0,0,1,0.28,0.01,0.11524,0.049
-1,0,0,0,0.3,0.01,0.1234,0.001
-1,0,0,0.2,0.3,0.01,0.1234,0.0106
-1,0,0,0.4,0.3,0.01,0.1234,0.0202
-1,0,0,0.6,0.3,0.01,0.1234,0.0298
-1,0,0,0.8,0.3,0.01,0.1234,0.0394
-1,0,0,1,0.3,0.01,0.1234,0.049
-1,0,0,0,0.32,0.01,0.13156,0.001
-1,0,0,0.2,0.32,0.01,0.13156,0.0106
-1,0,0,0.4,0.32,0.01,0.13156,0.0202
-1,0,0,0.6,0.32,0.01,0.13156,0.0298
-1,0,0,0.8,0.32,0.01,0.13156,0.0394
-1,0,0,1,0.32,0.01,0.13156,0.049
-1,0,0,0,0.34,0.01,0.13972,0.001
-1,0,0,0.2,0.34,0.01,0.13972,0.0106
-1,0,0,0.4,0.34,0.01,0.13972,0.0202
-1,0,0,0.6,0.34,0.01,0.13972,0.0298
-1,0,0,0.8,0.34,0.01,0.13972,0.0394
-1,0,0,1,0.34,0.01,0.13972,0.049
-1,0,0,0,0.36,0.01,0.14788,0.001
-1,0,0,0.2,0.36,0.01,0.14788,0.0106
-1,0,0,0.4,0.36,0.01,0.14788,0.0202
-1,0,0,0.6,0.36,0.01,0.14788,0.0298
-1,0,0,0.8,0.36,0.01,0.14788,0.0394
-1,0,0,1,0.36,0.01,0.14788,0.049
-1,0,0,0,0.38,0.01,0.15604,0.001
-1,0,0,0.2,0.38,0.01,0.15604,0.0106
-1,0,0,0.4,0.38,0.01,0.15604,0.0202
-1,0,0,0.6,0.38,0.01,0.15604,0.0298
-1,0,0,0.8,0.38,0.01,0.15604,0.0394
-1,0,0,1,0.38,0.01,0.15604,0.049
-1,0,0,0,0.4,0.01,0.1642,0.001
-1,0,0,0.2,0.4,0.01,0.1642,0.0106
-1,0,0,0.4,0.4,0.01,0.1642,0.0202
-1,0,0,0.6,0.4,0.01,0.1642,0.0298
-1,0,0,0.8,0.4,0.01,0.1642,0.0394
-1,0,0,1,0.4,0.01,0.1642,0.049
-1,0,0,0,0.42,0.01,0.17236,0.001
-1,0,0,0.2,0.42,0.01,0.17236,0.0106
-1,0,0,0.4,0.42,0.01,0.17236,0.0202
-1,0,0,0.6,0.42,0.01,0.17236,0.0298
-1,0,0,0.8,0.42,0.01,0.17236,0.0394
-1,0,0,1,0.42,0.01,0.17236,0.049
-1,0,0,0,0.44,0.01,0.18052,0.001
-1,0,0,0.2,0.44,0.01,0.18052,0.0106
-1,0,0,0.4,0.44,0.01,0.18052,0.0202
-1,0,0,0.6,0.44,0.01,0.18052,0.0298
-1,0,0,0.8,0.44,0.01,0.18052,0.0394
-1,0,0,1,0.44,0.01,0.18052,0.049
-1,0,0,0,0.46,0.01,0.18868,0.001
-1,0,0,0.2,0.46,0.01,0.18868,0.0106
-1,0,0,0.4,0.46,0.01,0.18868,0.0202
-1,0,0,0.6,0.46,0.01,0.18868,0.0298
-1,0,0,0.8,0.46,0.01,0.18868,0.0394
-1,0,0,1,0.46,0.01,0.18868,0.049
-1,0,0,0,0.48,0.01,0.19684,0.001
-1,0,0,0.2,0.48,0.01,0.19684,0.0106
-1,0,0,0.4,0.48,0.01,0.19684,0.0202
-1,0,0,0.6,0.48,0.01,0.19684,0.0298
-1,0,0,0.8,0.48,0.01,0.19684,0.0394
-1,0,0,1,0.48,0.01,0.19684,0.049
-1,0,0,0,0.5,0.01,0.205,0.001
-1,0,0,0.2,0.5,0.01,0.205,0.0106
-1,0,0,0.4,0.5,0.01,0.205,0.0202
-1,0,0,0.6,0.5,0.01,0.205,0.0298
-1,0,0,0.8,0.5,0.01,0.205,0.0394
-1,0,0,1,0.5,0.01,0.205,0.049
-1,0,0,0,0.52,0.01,0.21316,0.001
-1,0,0,0.2,0.52,0.01,0.21316,0.0106
-1,0,0,0.4,0.52,0.01,0.21316,0.0202
-1,0,0,0.6,0.52,0.01,0.21316,0.0298
-1,0,0,0.8,0.52,0.01,0.21316,0.0394
-1,0,0,1,0.52,0.01,0.21316,0.049
-1,0,0,0,0.54,0.01,0.22132,0.001
-1,0,0,0.2,0.54,0.01,0.22132,0.0106
-1,0,0,0.4,0.54,0.01,0.22132,0.0202
-1,0,0,0.6,0.54,0.01,0.22132,0.0298
-1,0,0,0.8,0.54,0.01,0.22132,0.0394
-1,0,0,1,0.54,0.01,0.22132,0.049
-1,0,0,0,0.56,0.01,0.22948,0.001
-1,0,0,0.2,0.56,0.01,0.22948,0.0106
-1,0,0,0.4,0.56,0.01,0.22948,0.0202
-1,0,0,0.6,0.56,0.01,0.22948,0.0298
-1,0,0,0.8,0.56,0.01,0.22948,0.0394
-1,0,0,1,0.56,0.01,0.22948,0.049
-1,0,0,0,0.58,0.01,0.23764,0.001
-1,0,0,0.2,0.58,0.01,0.23764,0.0106
-1,0,0,0.4,0.58,0.01,0.23764,0.0202
-1,0,0,0.6,0.58,0.01,0.23764,0.0298
-1,0,0,0.8,0.58,0.01,0.23764,0.0394
-1,0,0,1,0.58,0.01,0.23764,0.049
-1,0,0,0,0.6,0.01,0.2458,0.001
-1,0,0,0.2,0.6,0.01,0.2458,0.0106
-1,0,0,0.4,0.6,0.01,0.2458,0.0202
-1,0,0,0.6,0.6,0.01,0.2458,0.0298
-1,0,0,0.8,0.6,0.01,0.2458,0.0394
-1,0,0,1,0.6,0.01,0.2458,0.049
-1,0,0,0,0.62,0.01,0.25396,0.001
-1,0,0,0.2,0.62,0.01,0.25396,0.0106
-1,0,0,0.4,0.62,0.01,0.25396,0.0202
-1,0,0,0.6,0.62,0.01,0.25396,0.0298
-1,0,0,0.8,0.62,0.01,0.25396,0.0394
-1,0,0,1,0.62,0.01,0.25396,0.049
-1,0,0,0,0.64,0.01,0.26212,0.001
-1,0,0,0.2,0.64,0.01,0.26212,0.0106
-1,0,0,0.4,0.64,0.01,0.26212,0.0202
-1,0,0,0.6,0.64,0.01,0.26212,0.0298
-1,0,0,0.8,0.64,0.01,0.26212,0.0394
-1,0,0,1,0.64,0.01,0.26212,0.049
-1,0,0,0,0.66,0.01,0.27028,0.001
-1,0,0,0.2,0.66,0.01,0.27028,0.0106
-1,0,0,0.4,0.66,0.01,0.27028,0.0202
-1,0,0,0.6,0.66,0.01,0.27028,0.0298
-1,0,0,0.8,0.66,0.01,0.27028,0.0394
-1,0,0,1,0.66,0.01,0.27028,0.049
-1,0,0,0,0.68,0.01,0.27844,0.001
-1,0,0,0.2,0.68,0.01,0.27844,0.0106
-1,0,0,0.4,0.68,0.01,0.27844,0.0202
-1,0,0,0.6,0.68,0.01,0.27844,0.0298
-1,0,0,0.8,0.68,0.01,0.27844,0.0394
-1,0,0,1,0.68,0.01,0.27844,0.049
-1,0,0,0,0.7,0.01,0.2866,0.001
-1,0,0,0.2,0.7,0.01,0.2866,0.0106
-1,0,0,0.4,0.7,0.01,0.2866,0.0202
-1,0,0,0.6,0.7,0.01,0.2866,0.0298
-1,0,0,0.8,0.7,0.01,0.2866,0.0394
-1,0,0,1,0.7,0.01,0.2866,0.049
-1,0,0,0,0.72,0.01,0.29476,0.001
-1,0,0,0.2,0.72,0.01,0.29476,0.0106
-1,0,0,0.4,0.72,0.01,0.29476,0.0202
-1,0,0,0.6,0.72,0.01,0.29476,0.0298
-1,0,0,0.8,0.72,0.01,0.29476,0.0394
-1,0,0,1,0.72,0.01,0.29476,0.049
-1,0,0,0,0.74,0.01,0.30292,0.001
-1,0,0,0.2,0.74,0.01,0.30292,0.0106
-1,0,0,0.4,0.74,0.01,0.30292,0.0202
-1,0,0,0.6,0.74,0.01,0.30292,0.0298
-1,0,0,0.8,0.74,0.01,0.30292,0.0394
-1,0,0,1,0.74,0.01,0.30292,0.049
-1,0,0,0,0.76,0.01,0.31108,0.001
-1,0,0,0.2,0.76,0.01,0.31108,0.0106
-1,0,0,0.4,0.76,0.01,0.31108,0.0202
-1,0,0,0.6,0.76,0.01,0.31108,0.0298
-1,0,0,0.8,0.76,0.01,0.31108,0.0394
-1,0,0,1,0.76,0.01,0.31108,0.049
-1,0,0,0,0.78,0.01,0.31924,0.001
-1,0,0,0.2,0.78,0.01,0.31924,0.0106
-1,0,0,0.4,0.78,0.01,0.31924,0.0202
-1,0,0,0.6,0.78,0.01,0.31924,0.0298
-1,0,0,0.8,0.78,0.01,0.31924,0.0394
-1,0,0,1,0.78,0.01,0.31924,0.049
-1,0,0,0,0.8,0.01,0.3274,0.001
-1,0,0,0.2,0.8,0.01,0.3274,0.0106
-1,0,0,0.4,0.8,0.01,0.3274,0.0202
-1,0,0,0.6,0.8,0.01,0.3274,0.0298
-1,0,0,0.8,0.8,0.01,0.3274,0.0394
-1,0,0,1,0.8,0.01,0.3274,0.049
-1,0,0,0,0.82,0.01,0.33556,0.001
-1,0,0,0.2,0.82,0.01,0.33556,0.0106
-1,0,0,0.4,0.82,0.01,0.33556,0.0202
-1,0,0,0.6,0.82,0.01,0.33556,0.0298
-1,0,0,0.8,0.82,0.01,0.33556,0.0394
-1,0,0,1,0.82,0.01,0.33556,0.049
-1,0,0,0,0.84,0.01,0.34372,0.001
-1,0,0,0.2,0.84,0.01,0.34372,0.0106
-1,0,0,0.4,0.84,0.01,0.34372,0.0202
-1,0,0,0.6,0.84,0.01,0.34372,0.0298
-1,0,0,0.8,0.84,0.01,0.34372,0.0394
-1,0,0,1,0.84,0.01,0.34372,0.049
-1,0,0,0,0.86,0.01,0.35188,0.001
-1,0,0,0.2,0.86,0.01,0.35188,0.0106
-1,0,0,0.4,0.86,0.01,0.35188,0.0202
-1,0,0,0.6,0.86,0.01,0.35188,0.0298
-1,0,0,0.8,0.86,0.01,0.35188,0.0394
-1,0,0,1,0.86,0.01,0.35188,0.049
-1,0,0,0,0.88,0.01,0.36004,0.001
